epoch,step,test/Accuracy,test/F1score,test/IoU,test/Loss,test/Precision,test/Recall,train/Accuracy,train/F1score,train/IoU,train/Loss,train/Precision,train/Recall,val/Accuracy,val/F1score,val/IoU,val/Loss,val/Precision,val/Recall
0,5790,,,,,,,,,,,,,0.8577762842178345,0.5733264684677124,0.5181937217712402,-498071296.0,0.5733264684677124,0.5733264684677124
0,5790,,,,,,,0.8471851348876953,0.5415580868721008,0.4834330677986145,-2393216.75,0.5415580868721008,0.5415580868721008,,,,,,
1,5791,0.8571605086326599,0.5714831352233887,0.5156825184822083,-3071245824.0,0.5714831352233887,0.5714831352233887,,,,,,,,,,,,
1,5791,0.838916003704071,0.5167480707168579,0.4616652727127075,16779191296.0,0.5167480707168579,0.5167480707168579,,,,,,,,,,,,
