0,1,2,3,4,5
12896852,209520,889768,24566,404914,6902743
422102,7412969,8022744,2413470,1085491,1711198
498409,15538,37050361,54967,9426,350866
70483,250506,2257631,2697967,42874,274521
66636,848916,366081,21275,3733949,546834
6715540,2160712,17164224,3054444,812344,9611159
