0,1,2,3,4,5
17441428,272755,61191,0,110919,3442070
900510,13482624,1178830,20237,1211561,4274212
1184038,420257,30185932,1219,41080,6147041
55660,759551,1007987,25199,236192,3509393
154601,400774,376551,0,3429655,1222110
5672152,3439583,4929974,1812,879021,24595881
