0,1,2,3,4,5
15358681,255805,23392,16,60701,5629768
435141,15930979,471262,105983,1057081,3067528
299939,62515,29255579,416773,2420,7942341
15842,700159,792217,698846,202165,3184753
116273,723577,83459,6742,3493363,1160277
2415353,3050774,3643371,194603,785979,29428343
