0,1,2,3,4,5
7726068,607504,49772,11068,249269,4862413
337380,10414620,188412,1513942,285059,2172137
111837,591300,18104968,1074326,2173170,4735132
64820,813920,584101,1559067,126501,785009
111426,1100955,31796,7714,2241157,531076
4051027,5191126,2653001,1587360,1182109,12084850
