loss,IoU,MA_IoU,accuracy,MA_accuracy,precision,MA_precision,recall,MA_recall,F1_score,MA_F1_score
1.2644295692443848,"[0.38424423336982727, 0.4177679419517517, 0.2598397135734558, 0.011464147828519344, 0.31813788414001465, 0.19438253343105316]",0.26430606842041016,"[0.8472927808761597, 0.6955123543739319, 0.8816792964935303, 0.9902666211128235, 0.8956055641174316, 0.6613315343856812]",0.8286147117614746,"[0.49516570568084717, 0.5568981766700745, 0.31354084610939026, 0.04836480692028999, 0.41414499282836914, 0.5018786787986755]",0.38833221793174744,"[0.6317177414894104, 0.6257771253585815, 0.6027186512947083, 0.01480335183441639, 0.5784766674041748, 0.2408488243818283]",0.44905707240104675,"[0.5551682114601135, 0.589331865310669, 0.4124964773654938, 0.022668423131108284, 0.48270800709724426, 0.32549458742141724]",0.41649284958839417
1.0233360528945923,"[0.48648133873939514, 0.5091702342033386, 0.4122619330883026, 0.038562167435884476, 0.4389050602912903, 0.28229963779449463]",0.36128005385398865,"[0.8874497413635254, 0.7601966857910156, 0.9258784055709839, 0.9826090335845947, 0.9251288175582886, 0.6932997703552246]",0.8624271154403687,"[0.6094474792480469, 0.6408144235610962, 0.47616642713546753, 0.06249817833304405, 0.5432654023170471, 0.5780566930770874]",0.48504143953323364,"[0.7068403363227844, 0.7125219106674194, 0.7544116377830505, 0.09147719293832779, 0.6955668926239014, 0.3555680513381958]",0.5527310371398926,"[0.6545408368110657, 0.6747684478759766, 0.5838320851325989, 0.07426068186759949, 0.6100541949272156, 0.44030216336250305]",0.5166786909103394
0.9396629333496094,"[0.5167767405509949, 0.5399410128593445, 0.4446699619293213, 0.06352172046899796, 0.48185479640960693, 0.3217453062534332]",0.394751638174057,"[0.8973277807235718, 0.7857152819633484, 0.9322932362556458, 0.9792783856391907, 0.9326661229133606, 0.7084187269210815]",0.8726166486740112,"[0.6405079960823059, 0.6831475496292114, 0.5056434273719788, 0.08835792541503906, 0.5778158903121948, 0.6041747331619263]",0.516607940196991,"[0.7279021739959717, 0.7203357219696045, 0.7866702675819397, 0.18433040380477905, 0.7436829805374146, 0.4076809585094452]",0.5951004028320312,"[0.6814143657684326, 0.7012489438056946, 0.6156007647514343, 0.11945543438196182, 0.6503400802612305, 0.4868491291999817]",0.5530831813812256
0.8668152093887329,"[0.5445166230201721, 0.5702431797981262, 0.4804072678089142, 0.09013862162828445, 0.5111546516418457, 0.3567897081375122]",0.4255416989326477,"[0.9056534171104431, 0.806788980960846, 0.939551591873169, 0.9775763750076294, 0.9377733469009399, 0.7237752676010132]",0.8818532228469849,"[0.6670834422111511, 0.7184849381446838, 0.5409857630729675, 0.11545292288064957, 0.6015763282775879, 0.6295365691184998]",0.545520007610321,"[0.7477036118507385, 0.7343112230300903, 0.8109710216522217, 0.29133424162864685, 0.772764265537262, 0.45160970091819763]",0.6347824335098267,"[0.7050964832305908, 0.7263118028640747, 0.6490203738212585, 0.16537095606327057, 0.6765087246894836, 0.525932252407074]",0.5867758989334106
0.846485435962677,"[0.549403727054596, 0.5770317316055298, 0.4883538484573364, 0.10516005754470825, 0.5200216770172119, 0.3669675886631012]",0.43448978662490845,"[0.9070385694503784, 0.8121221661567688, 0.9411606788635254, 0.9763270616531372, 0.939317524433136, 0.7280368804931641]",0.8840004801750183,"[0.6714529991149902, 0.7294650077819824, 0.5492824912071228, 0.12872643768787384, 0.6089031100273132, 0.6357224583625793]",0.5539254546165466,"[0.7514008283615112, 0.7341392636299133, 0.814903736114502, 0.36484330892562866, 0.7808234095573425, 0.464679092168808]",0.6517982482910156,"[0.7091808319091797, 0.7317947149276733, 0.6562334895133972, 0.1903073787689209, 0.68422931432724, 0.5369075536727905]",0.5988895297050476
