0,1,2,3,4,5
6012995,553111,53318,39393,327263,6520014
449214,9743751,161197,1154105,231075,3172208
38655,425228,11123062,2528552,40403,12634833
8893,555070,237970,2284954,14842,831689
161996,671730,21555,23695,1788732,1356416
1745401,3749696,1831505,2972697,1860488,14589686
