loss,IoU,MA_IoU,accuracy,MA_accuracy,precision,MA_precision,recall,MA_recall,F1_score,MA_F1_score
0.8973064422607422,"[0.5399508476257324, 0.5563516616821289, 0.4659060835838318, 0.0731334537267685, 0.4946605861186981, 0.35523805022239685]",0.4142068028450012,"[0.9053648114204407, 0.798596978187561, 0.9366154074668884, 0.9787164926528931, 0.9346713423728943, 0.7217550277709961]",0.8792867064476013,"[0.6693809628486633, 0.7066679000854492, 0.5263314843177795, 0.09868669509887695, 0.5865439772605896, 0.624273419380188]",0.5353140830993652,"[0.7363212704658508, 0.723414957523346, 0.802302896976471, 0.22023741900920868, 0.7594823837280273, 0.45184430480003357]",0.6156005859375,"[0.7012572884559631, 0.7149434089660645, 0.6356561183929443, 0.13629889488220215, 0.6619035601615906, 0.524244487285614]",0.5726569890975952
0.8242306709289551,"[0.5606920719146729, 0.5880318284034729, 0.4956386387348175, 0.10505152493715286, 0.5341033339500427, 0.38665899634361267]",0.4450293779373169,"[0.9111886024475098, 0.8190849423408508, 0.9421667456626892, 0.9761447906494141, 0.9417795538902283, 0.7370685935020447]",0.8879055976867676,"[0.6883660554885864, 0.7415170073509216, 0.5540233254432678, 0.12827017903327942, 0.6208238005638123, 0.649608314037323]",0.5637680888175964,"[0.7514307498931885, 0.7396442294120789, 0.8246601819992065, 0.36722925305366516, 0.7926857471466064, 0.4885510504245758]",0.6607002019882202,"[0.7185172438621521, 0.7405794262886047, 0.6627786159515381, 0.19012963771820068, 0.6963068246841431, 0.5576843619346619]",0.6083974838256836
0.7636561393737793,"[0.5764254927635193, 0.6195484399795532, 0.5167382955551147, 0.13393321633338928, 0.5660282373428345, 0.41025686264038086]",0.47048839926719666,"[0.9155334830284119, 0.8364084362983704, 0.9461118578910828, 0.9751170873641968, 0.947563886642456, 0.7497957348823547]",0.8950884342193604,"[0.7029798626899719, 0.7671461701393127, 0.5749840140342712, 0.15420618653297424, 0.651224672794342, 0.6719381213188171]",0.5870798826217651,"[0.7620128989219666, 0.7630405426025391, 0.8360946178436279, 0.5046470165252686, 0.8122632503509521, 0.5130138397216797]",0.698512077331543,"[0.7313069701194763, 0.765087902545929, 0.6813809275627136, 0.23622772097587585, 0.7228838801383972, 0.5818185806274414]",0.6379666328430176
