0,1,2,3,4,5
11101505,149101,44821,28904,818102,1363661
452490,9306870,304385,1145987,1029401,2672417
267921,363022,18526373,2477977,136055,5019385
60462,391930,298346,2301633,184397,696650
106539,620458,7001,40424,2927289,322413
6084702,1864237,1823108,3742650,2498546,10736230
