loss,IoU,MA_IoU,accuracy,MA_accuracy,precision,MA_precision,recall,MA_recall,F1_score,MA_F1_score
0.8184943199157715,"[0.5571543574333191, 0.592694103717804, 0.4988585114479065, 0.11434382200241089, 0.5381174087524414, 0.38010698556900024]",0.44687920808792114,"[0.9093841314315796, 0.821564257144928, 0.9432929158210754, 0.9765170812606812, 0.9423673152923584, 0.733844518661499]",0.8878283500671387,"[0.6794919967651367, 0.7448245286941528, 0.5606325268745422, 0.13830341398715973, 0.6233111619949341, 0.6443564295768738]",0.5651533603668213,"[0.7557739019393921, 0.7437084913253784, 0.8190834522247314, 0.3976026177406311, 0.7974510788917542, 0.4810231029987335]",0.6657737493515015,"[0.7156057953834534, 0.7442660927772522, 0.665651261806488, 0.20522180199623108, 0.6997091174125671, 0.5508369207382202]",0.6113510131835938
0.7788305878639221,"[0.5680888891220093, 0.6103137731552124, 0.5126469135284424, 0.13661424815654755, 0.5544883608818054, 0.3970874547958374]",0.46320661902427673,"[0.9123745560646057, 0.8317931294441223, 0.9458217024803162, 0.9755691289901733, 0.9453657865524292, 0.7428699731826782]",0.8922990560531616,"[0.6889623999595642, 0.7614854574203491, 0.5742558240890503, 0.15754573047161102, 0.6388942003250122, 0.6601060628890991]",0.5802083015441895,"[0.7640413045883179, 0.754558265209198, 0.8269408941268921, 0.5069664120674133, 0.8075849413871765, 0.4991442561149597]",0.6932060122489929,"[0.7245621681213379, 0.7580060362815857, 0.6778143644332886, 0.24038806557655334, 0.7134031057357788, 0.5684504508972168]",0.6316936612129211
0.7664487361907959,"[0.5729844570159912, 0.6127102375030518, 0.522280752658844, 0.14300675690174103, 0.5599191188812256, 0.40286490321159363]",0.46896106004714966,"[0.9134531617164612, 0.8330957293510437, 0.9475241899490356, 0.9743140935897827, 0.9465702772140503, 0.746599018573761]",0.8935927748680115,"[0.6914092898368835, 0.7634307146072388, 0.5836268663406372, 0.1609354317188263, 0.6462612748146057, 0.6677058339118958]",0.5855616331100464,"[0.7698663473129272, 0.756305992603302, 0.8324624300003052, 0.5621122121810913, 0.8073562979698181, 0.5038910508155823]",0.7053323984146118,"[0.7285315990447998, 0.7598516345024109, 0.686181902885437, 0.2502290904521942, 0.7178822159767151, 0.5743460059165955]",0.6398907899856567
0.772468626499176,"[0.5657488107681274, 0.6195412278175354, 0.521312415599823, 0.14539378881454468, 0.5639510154724121, 0.39938268065452576]",0.46922168135643005,"[0.9102903604507446, 0.8366507291793823, 0.947216808795929, 0.9737129807472229, 0.947108805179596, 0.747410237789154]",0.8937317132949829,"[0.6770922541618347, 0.7683044075965881, 0.5816215872764587, 0.16199970245361328, 0.6483782529830933, 0.6739163994789124]",0.5852187871932983,"[0.7747942805290222, 0.76188725233078, 0.8340947031974792, 0.586502730846405, 0.8124176263809204, 0.4950493276119232]",0.7107909917831421,"[0.7226558923721313, 0.7650824189186096, 0.6853455901145935, 0.25387564301490784, 0.7211875319480896, 0.570798397064209]",0.6419214606285095
0.7817224860191345,"[0.5654498338699341, 0.6238610148429871, 0.5145969390869141, 0.14738667011260986, 0.5705344676971436, 0.3974470794200897]",0.4698793292045593,"[0.9092897176742554, 0.8388026356697083, 0.945745587348938, 0.9734667539596558, 0.9479631781578064, 0.7490484118461609]",0.8940526843070984,"[0.670906126499176, 0.7709648609161377, 0.5730404853820801, 0.16333453357219696, 0.651573896408081, 0.6819488406181335]",0.5852948427200317,"[0.7824835181236267, 0.7657875418663025, 0.8345913887023926, 0.6015147566795349, 0.8210199475288391, 0.4878827631473541]",0.715546727180481,"[0.7224118709564209, 0.7683674097061157, 0.6795166730880737, 0.25690847635269165, 0.7265481352806091, 0.5688187479972839]",0.6438997983932495
