0,1,2,3,4,5
20129589,122079,10370,28,52564,1013733
391645,17147532,486465,289123,451412,2301797
5343662,50218,21849389,56991,31018,10648289
183573,342523,610446,1735296,27616,2694528
181696,668653,1759,195,4116200,615188
7338164,3311558,2244331,702533,518818,25403019
