0,1,2,3,4,5
13732891,407332,487664,25591,56284,6618601
88364,16201897,930759,445359,270309,3131286
214687,57220,35260295,150751,3755,2292859
22062,155647,1393876,1961543,19478,2041376
24680,692580,78873,10850,3751255,1025453
1654297,3023883,8621593,1563878,640932,24013840
