epoch,step,test/Accuracy,test/F1score,test/IoU,test/Loss,test/Precision,test/Recall,train/Accuracy,train/F1score,train/IoU,train/Loss,train/Precision,train/Recall,val/Accuracy,val/F1score,val/IoU,val/Loss,val/Precision,val/Recall
0,5790,,,,,,,,,,,,,0.7793430089950562,0.3380306363105774,0.27687621116638184,182133342208.0,0.3380306363105774,0.3380306363105774
0,5790,,,,,,,0.791080892086029,0.37323951721191406,0.2894783914089203,-48587588.0,0.37323951721191406,0.37323951721191406,,,,,,
1,5791,0.7802745699882507,0.34082475304603577,0.2798391282558441,191657803776.0,0.34082475304603577,0.34082475304603577,,,,,,,,,,,,
