epoch,step,test/Accuracy,test/F1score,test/IoU,test/Loss,test/Precision,test/Recall,train/Accuracy,train/F1score,train/IoU,train/Loss,train/Precision,train/Recall,val/Accuracy,val/F1score,val/IoU,val/Loss,val/Precision,val/Recall
0,5790,,,,,,,,,,,,,0.7278566360473633,0.18357037007808685,0.10163474082946777,0.6621506810188293,0.18357037007808685,0.18357037007808685
0,5790,,,,,,,0.7250339388847351,0.1751016527414322,0.09637186676263809,0.7393512725830078,0.1751016527414322,0.1751016527414322,,,,,,
1,5791,0.7274413108825684,0.18232305347919464,0.1008853167295456,0.6615205407142639,0.18232305347919464,0.18232305347919464,,,,,,,,,,,,
