epoch,step,test/Accuracy,test/F1score,test/IoU,test/Loss,test/Precision,test/Recall,train/Accuracy,train/F1score,train/IoU,train/Loss,train/Precision,train/Recall,val/Accuracy,val/F1score,val/IoU,val/Loss,val/Precision,val/Recall
0,5790,,,,,,,,,,,,,0.7167131900787354,0.15014131367206573,0.08174347877502441,0.6759500503540039,0.15014131367206573,0.15014131367206573
0,5790,,,,,,,0.7205695509910583,0.16170693933963776,0.08862421661615372,0.7269637584686279,0.16170693933963776,0.16170693933963776,,,,,,
1,5791,0.7164114117622375,0.14923402667045593,0.08120357990264893,0.6721686124801636,0.14923402667045593,0.14923402667045593,,,,,,,,,,,,
