epoch,step,test/Accuracy,test/F1score,test/IoU,test/Loss,test/Precision,test/Recall,train/Accuracy,train/F1score,train/IoU,train/Loss,train/Precision,train/Recall,val/Accuracy,val/F1score,val/IoU,val/Loss,val/Precision,val/Recall
0,5790,,,,,,,,,,,,,0.8566671013832092,0.5700021386146545,0.5157427787780762,2504860672.0,0.5700021386146545,0.5700021386146545
0,5790,,,,,,,0.8531090617179871,0.5593290328979492,0.4991072118282318,18248208.0,0.5593290328979492,0.5593290328979492,,,,,,
1,11581,,,,,,,,,,,,,0.8566671013832092,0.5700021386146545,0.5157427787780762,2618049024.0,0.5700021386146545,0.5700021386146545
1,11581,,,,,,,0.8569031953811646,0.5707113146781921,0.5154334306716919,0.3103954493999481,0.5707113146781921,0.5707113146781921,,,,,,
2,17372,,,,,,,,,,,,,0.8566671013832092,0.5700021386146545,0.5157427787780762,2951532032.0,0.5700021386146545,0.5700021386146545
2,17372,,,,,,,0.8569040298461914,0.5707112550735474,0.5154338479042053,0.30618152022361755,0.5707112550735474,0.5707112550735474,,,,,,
3,23163,,,,,,,,,,,,,0.8566671013832092,0.5700021386146545,0.5157427787780762,983891776.0,0.5700021386146545,0.5700021386146545
3,23163,,,,,,,0.8569063544273376,0.5707119107246399,0.5154335498809814,0.3055560886859894,0.5707119107246399,0.5707119107246399,,,,,,
4,28954,,,,,,,,,,,,,0.8566671013832092,0.5700021386146545,0.5157427787780762,1605047040.0,0.5700021386146545,0.5700021386146545
4,28954,,,,,,,0.8569048643112183,0.5707104206085205,0.5154345631599426,0.3041757047176361,0.5707104206085205,0.5707104206085205,,,,,,
5,34745,,,,,,,,,,,,,0.8566671013832092,0.5700021386146545,0.5157427787780762,3949158400.0,0.5700021386146545,0.5700021386146545
5,34745,,,,,,,0.8569045066833496,0.5707119107246399,0.5154340267181396,0.2929447889328003,0.5707119107246399,0.5707119107246399,,,,,,
6,34746,0.8572834730148315,0.5718510150909424,0.5173583030700684,3621412864.0,0.5718510150909424,0.5718510150909424,,,,,,,,,,,,
