epoch,step,test/Accuracy,test/F1score,test/IoU,test/Loss,test/Precision,test/Recall,train/Accuracy,train/F1score,train/IoU,train/Loss,train/Precision,train/Recall,val/Accuracy,val/F1score,val/IoU,val/Loss,val/Precision,val/Recall
0,5790,,,,,,,,,,,,,0.7279248237609863,0.1837749034166336,0.10144231468439102,0.663875937461853,0.1837749034166336,0.1837749034166336
0,5790,,,,,,,0.723268449306488,0.16980430483818054,0.09307800978422165,0.7373685836791992,0.16980430483818054,0.16980430483818054,,,,,,
1,11581,,,,,,,,,,,,,0.7283176183700562,0.18495310842990875,0.102139912545681,0.6632786393165588,0.18495310842990875,0.18495310842990875
1,11581,,,,,,,0.7232660055160522,0.16979718208312988,0.09307544678449631,0.7385502457618713,0.16979718208312988,0.16979718208312988,,,,,,
2,17372,,,,,,,,,,,,,0.7286425232887268,0.18592987954616547,0.10274580121040344,0.6635489463806152,0.18592987954616547,0.18592987954616547
2,17372,,,,,,,0.723275899887085,0.16982805728912354,0.09309336543083191,0.7379915118217468,0.16982805728912354,0.16982805728912354,,,,,,
3,23163,,,,,,,,,,,,,0.7283966541290283,0.18519121408462524,0.10235676169395447,0.6624714732170105,0.18519121408462524,0.18519121408462524
3,23163,,,,,,,0.7232690453529358,0.16980494558811188,0.0930793508887291,0.7378055453300476,0.16980494558811188,0.16980494558811188,,,,,,
4,28954,,,,,,,,,,,,,0.7284874320030212,0.1854613572359085,0.10248400270938873,0.6637681722640991,0.1854613572359085,0.1854613572359085
4,28954,,,,,,,0.7232393622398376,0.16972008347511292,0.09302756935358047,0.7384745478630066,0.16972008347511292,0.16972008347511292,,,,,,
5,34745,,,,,,,,,,,,,0.7287068963050842,0.18611957132816315,0.10286285728216171,0.6632172465324402,0.18611957132816315,0.18611957132816315
5,34745,,,,,,,0.7232879400253296,0.16986925899982452,0.093117356300354,0.7375446557998657,0.16986925899982452,0.16986925899982452,,,,,,
6,34746,0.7287339568138123,0.1862022876739502,0.10290675610303879,0.6620951294898987,0.1862022876739502,0.1862022876739502,,,,,,,,,,,,
